iter	Passed	Remaining
0	56	56716
1	57	28477
2	57	19055
3	57	14343
4	57	11519
5	58	9637
6	58	8302
7	58	7294
8	59	6509
9	59	5878
10	59	5364
11	59	4934
12	60	4572
13	60	4260
14	60	3989
15	61	3753
16	61	3547
17	61	3361
18	61	3197
19	62	3048
20	62	2911
21	62	2788
22	62	2675
23	63	2574
24	63	2479
25	63	2391
26	64	2310
27	64	2235
28	64	2164
29	64	2099
30	65	2040
31	65	1982
32	65	1928
33	66	1877
34	66	1829
35	66	1784
36	66	1741
37	67	1700
38	67	1661
39	67	1625
40	67	1590
41	68	1556
42	68	1524
43	68	1492
44	68	1463
45	69	1435
46	69	1408
47	69	1383
48	69	1358
49	70	1334
50	70	1311
51	70	1289
52	70	1268
53	71	1248
54	71	1229
55	71	1210
56	72	1192
57	72	1174
58	72	1157
59	72	1140
60	73	1124
61	73	1108
62	73	1093
63	73	1079
64	74	1064
65	74	1051
66	74	1037
67	74	1022
68	74	1010
69	75	999
70	75	987
71	75	976
72	76	965
73	76	954
74	76	943
75	76	933
76	77	923
77	77	913
78	77	904
79	77	894
80	78	885
81	78	876
82	78	867
83	78	858
84	78	849
85	79	841
86	79	832
87	79	824
88	79	817
89	80	810
90	80	802
91	80	795
92	80	788
93	81	781
94	81	774
95	81	768
96	81	761
97	82	755
98	82	749
99	82	742
100	82	736
101	82	729
102	83	723
103	83	718
104	83	713
105	83	707
106	84	702
107	84	697
108	84	691
109	84	686
110	85	681
111	85	676
112	85	672
113	85	667
114	86	662
115	86	657
116	86	652
117	86	647
118	86	642
119	87	638
120	87	633
121	87	629
122	87	624
123	87	620
124	88	616
125	88	612
126	88	608
127	88	603
128	88	599
129	89	595
130	89	592
131	89	588
132	89	585
133	89	581
134	90	578
135	90	574
136	90	571
137	90	567
138	91	563
139	91	560
140	91	557
141	91	554
142	92	551
143	92	548
144	92	545
145	92	542
146	92	539
147	93	536
148	93	533
149	93	530
150	93	527
151	94	525
152	94	522
153	94	519
154	94	516
155	95	514
156	95	511
157	95	509
158	95	506
159	95	503
160	96	501
161	96	498
162	96	496
163	96	494
164	97	491
165	97	489
166	97	487
167	97	484
168	98	482
169	98	480
170	98	478
171	98	475
172	99	473
173	99	471
174	99	469
175	99	467
176	100	465
177	100	463
178	100	460
179	100	458
180	100	456
181	101	454
182	101	452
183	101	450
184	101	448
185	102	446
186	102	444
187	102	442
188	102	441
189	103	439
190	103	437
191	103	435
192	103	433
193	103	432
194	104	430
195	104	428
196	104	426
197	104	424
198	105	423
199	105	421
200	105	419
201	105	417
202	106	416
203	106	414
204	106	412
205	106	411
206	106	409
207	107	408
208	107	406
209	107	404
210	107	403
211	108	401
212	108	400
213	108	398
214	108	397
215	109	395
216	109	394
217	109	392
218	109	391
219	109	389
220	110	388
221	110	386
222	110	385
223	110	384
224	111	383
225	111	381
226	111	380
227	111	378
228	112	377
229	112	376
230	112	374
231	112	373
232	113	372
233	113	370
234	113	369
235	113	368
236	114	367
237	114	366
238	114	364
239	114	363
240	114	362
241	115	360
242	115	359
243	115	358
244	115	357
245	116	356
246	116	355
247	116	353
248	116	352
249	117	351
250	117	350
251	117	349
252	117	347
253	118	346
254	118	345
255	118	344
256	118	343
257	119	342
258	119	341
259	119	340
260	119	338
261	119	337
262	120	336
263	120	335
264	120	334
265	120	333
266	121	332
267	121	331
268	121	330
269	121	329
270	122	328
271	122	327
272	122	326
273	122	325
274	123	324
275	123	323
276	123	322
277	123	321
278	123	320
279	124	319
280	124	318
281	124	317
282	124	316
283	125	315
284	125	314
285	125	313
286	125	312
287	126	311
288	126	310
289	126	310
290	126	309
291	127	308
292	127	307
293	127	306
294	127	305
295	127	304
296	128	303
297	128	302
298	128	301
299	128	300
300	129	299
301	129	298
302	129	298
303	129	297
304	130	296
305	130	295
306	130	294
307	130	293
308	130	292
309	131	292
310	131	291
311	131	290
312	131	289
313	132	288
314	132	287
315	132	286
316	132	286
317	133	285
318	133	284
319	133	283
320	133	282
321	134	282
322	134	281
323	134	280
324	134	279
325	134	278
326	135	278
327	135	277
328	135	276
329	135	275
330	136	275
331	136	274
332	136	273
333	136	272
334	136	271
335	137	271
336	137	270
337	137	269
338	137	268
339	138	268
340	138	267
341	138	266
342	138	266
343	139	265
344	139	264
345	139	263
346	139	263
347	140	262
348	140	261
349	140	261
350	140	260
351	141	259
352	141	259
353	141	258
354	141	257
355	142	257
356	142	256
357	142	255
358	142	254
359	143	254
360	143	253
361	143	252
362	143	252
363	143	251
364	144	250
365	144	250
366	144	249
367	144	248
368	145	248
369	145	247
370	145	246
371	145	246
372	146	245
373	146	244
374	146	244
375	146	243
376	147	243
377	147	242
378	147	241
379	147	241
380	148	240
381	148	239
382	148	239
383	148	238
384	148	237
385	149	237
386	149	236
387	149	235
388	149	235
389	150	234
390	150	234
391	150	233
392	150	232
393	150	232
394	151	231
395	151	231
396	151	230
397	151	229
398	152	229
399	152	228
400	152	227
401	152	227
402	153	226
403	153	226
404	153	225
405	153	224
406	154	224
407	154	223
408	154	223
409	154	222
410	154	222
411	155	221
412	155	220
413	155	220
