iter	Passed	Remaining
0	57	57248
1	57	28739
2	57	19234
3	58	14477
4	58	11622
5	58	9720
6	59	8373
7	59	7351
8	59	6554
9	59	5917
10	60	5395
11	60	4963
12	60	4595
13	60	4278
14	61	4007
15	61	3768
16	61	3561
17	61	3373
18	62	3204
19	62	3052
20	62	2915
21	62	2790
22	63	2678
23	63	2581
24	63	2487
25	64	2401
26	64	2319
27	64	2242
28	64	2171
29	65	2108
30	65	2045
31	65	1987
32	65	1932
33	66	1880
34	66	1831
35	66	1785
36	66	1741
37	67	1699
38	67	1660
39	67	1622
40	67	1587
41	68	1553
42	68	1521
43	68	1490
44	68	1460
45	69	1432
46	69	1405
47	69	1379
48	69	1353
49	69	1329
50	70	1306
51	70	1283
52	70	1262
53	70	1241
54	71	1223
55	71	1209
56	72	1193
57	72	1175
58	72	1158
59	72	1142
60	73	1126
61	73	1110
62	73	1095
63	73	1080
64	74	1066
65	74	1053
66	74	1040
67	74	1027
68	75	1014
69	75	1003
70	75	992
71	76	980
72	76	969
73	76	958
74	76	947
75	77	937
76	77	927
77	77	917
78	77	908
79	78	899
80	78	889
81	78	880
82	78	870
83	78	861
84	79	853
85	79	844
86	79	836
87	79	828
88	80	820
89	80	814
90	80	808
91	81	801
92	81	794
93	81	787
94	81	780
95	82	774
96	82	768
97	82	761
98	82	755
99	83	749
100	83	743
101	83	737
102	84	732
103	84	728
104	84	722
105	85	718
106	85	712
107	85	707
108	85	701
109	86	696
110	86	691
111	86	686
112	86	682
113	87	677
114	87	674
115	87	670
116	88	665
117	88	660
118	88	656
119	88	651
120	89	647
121	89	642
122	89	638
123	89	633
124	89	629
125	90	625
126	90	621
127	90	617
128	90	613
129	91	609
130	91	606
131	91	602
132	91	598
133	92	595
134	92	591
135	92	587
136	92	584
137	93	581
138	93	577
139	93	574
140	93	570
141	93	566
142	94	563
143	94	560
144	94	557
145	94	554
146	95	551
147	95	548
148	95	545
149	95	543
150	96	540
151	96	537
152	96	534
153	96	531
154	97	529
155	97	526
156	97	524
157	97	521
158	98	518
159	98	516
160	98	513
161	98	510
162	99	508
163	99	506
164	99	504
165	99	501
166	100	499
167	100	497
168	100	494
169	100	492
170	101	490
171	101	487
172	101	485
173	101	483
174	102	481
175	102	479
176	102	477
177	102	475
178	103	472
179	103	471
180	103	468
181	103	466
182	104	464
183	104	462
184	104	460
185	104	458
186	105	456
187	105	454
188	105	452
189	105	450
190	106	451
191	106	449
192	107	448
193	108	448
194	108	447
195	108	445
196	108	443
197	108	441
198	109	439
199	109	437
200	109	435
201	109	434
202	110	432
203	110	430
204	110	429
205	110	427
206	111	425
207	111	424
208	111	423
209	112	421
210	112	419
211	112	418
212	112	416
213	112	414
214	113	413
215	113	411
216	113	410
217	113	408
218	114	406
219	114	405
220	114	403
221	114	402
222	115	400
223	115	399
224	115	398
225	115	396
226	116	395
227	116	393
228	116	392
229	116	391
230	117	389
231	117	388
232	117	386
233	117	385
234	117	384
235	118	382
236	118	381
237	118	380
238	118	378
239	119	377
240	119	376
241	119	374
242	119	373
243	120	372
244	120	370
245	120	369
246	120	368
247	121	367
248	121	365
249	121	364
250	121	363
251	122	362
252	122	360
253	122	359
254	122	358
255	123	357
256	123	356
257	123	355
258	123	354
259	124	353
260	124	352
261	124	351
262	124	349
263	125	348
264	125	347
265	125	346
266	125	345
267	126	344
268	126	343
269	126	342
270	126	341
271	127	339
272	127	338
273	127	337
274	127	336
275	128	335
276	128	334
277	128	333
278	128	332
279	128	331
280	129	330
281	129	329
282	129	328
283	129	327
284	130	326
285	130	325
286	130	324
287	130	323
288	131	322
289	131	321
290	131	320
291	131	319
292	132	318
293	132	317
294	132	316
295	132	315
296	133	314
297	133	314
298	133	313
299	133	312
300	134	311
301	134	310
302	134	309
303	134	308
304	135	307
305	135	306
306	135	306
307	136	305
308	136	304
309	136	303
310	136	303
311	137	302
312	137	301
313	137	300
314	137	299
315	138	298
316	138	298
317	138	297
318	138	296
319	139	295
320	139	294
321	139	293
322	139	292
323	140	292
324	140	291
325	140	290
326	140	289
327	141	289
328	141	288
329	141	287
330	141	286
331	142	286
332	142	285
333	142	284
334	142	283
335	143	282
336	143	282
337	143	281
338	143	280
339	144	279
340	144	278
341	144	278
342	144	277
343	145	276
344	145	275
345	145	275
346	145	274
347	145	273
348	146	272
349	146	271
350	146	271
351	147	270
352	147	269
353	147	269
354	147	268
355	148	267
356	148	267
357	148	266
358	148	266
359	149	265
360	149	264
361	149	263
362	150	263
363	150	262
364	150	261
365	150	261
366	151	260
367	151	260
368	151	259
369	152	258
370	152	258
371	152	257
372	152	256
373	153	256
374	153	255
375	153	254
376	153	254
377	153	253
378	154	252
379	154	252
380	154	251
381	154	250
382	155	250
383	155	249
384	155	248
385	156	248
386	156	247
387	156	246
388	156	246
389	156	245
390	157	244
391	157	244
392	157	243
393	157	242
394	158	242
395	158	241
396	158	240
397	158	240
398	159	239
399	159	238
400	159	238
401	159	237
402	160	237
403	160	236
404	160	235
405	160	235
406	161	234
407	161	234
408	161	233
409	161	232
410	162	232
411	162	231
412	162	231
413	162	230
414	163	230
415	163	229
416	163	228
417	163	228
418	164	227
419	164	227
420	164	226
421	164	225
422	165	225
423	165	224
424	165	224
425	165	223
426	166	222
427	166	222
428	166	221
429	166	221
430	167	220
431	167	219
432	167	219
433	167	218
434	167	218
435	168	217
436	168	217
437	168	216
438	168	215
439	169	215
440	169	214
441	169	214
442	169	213
443	170	213
444	170	212
445	170	211
446	170	211
447	171	210
448	171	210
449	171	209
450	171	209
451	172	208
452	172	208
453	172	208
454	173	207
455	173	206
456	173	206
457	173	205
458	174	205
459	174	204
460	174	204
461	174	203
462	175	203
463	175	202
464	175	202
465	175	201
466	176	201
467	176	200
468	176	199
469	176	199
470	176	198
471	177	198
472	177	197
473	177	197
474	177	196
475	178	196
476	178	195
477	178	195
478	178	194
479	179	193
480	179	193
481	179	192
482	179	192
483	179	191
484	180	191
485	180	190
486	180	190
487	181	189
488	181	189
489	181	188
490	181	188
491	181	187
492	182	187
493	182	186
494	182	186
495	182	185
496	183	185
497	183	184
498	183	184
499	183	183
500	184	183
501	184	183
502	184	182
503	184	182
504	185	181
505	185	181
506	185	180
507	185	180
508	186	179
509	186	179
510	186	178
511	186	178
512	187	177
513	187	177
514	187	176
515	187	176
516	188	175
517	188	175
518	188	174
519	188	174
520	188	173
521	189	173
522	189	172
523	189	172
524	189	171
525	190	171
526	190	170
527	190	170
528	190	169
529	190	169
530	191	168
531	191	168
532	191	167
533	191	167
534	192	166
535	192	166
536	192	166
537	192	165
538	192	165
539	193	164
540	193	164
541	193	163
542	194	163
543	194	162
544	194	162
545	194	161
546	195	161
547	195	161
548	195	160
549	195	160
550	195	159
551	196	159
552	196	158
553	196	158
554	197	158
555	197	157
556	197	157
557	197	156
558	198	156
559	198	155
560	198	155
561	199	155
562	199	154
563	199	154
564	199	153
565	200	153
566	200	153
567	200	152
568	201	152
569	201	151
570	201	151
571	202	151
572	202	150
573	202	150
574	202	149
575	203	149
576	203	149
577	203	148
578	203	148
579	204	147
580	204	147
581	204	146
582	204	146
583	205	146
584	205	145
585	205	145
586	205	144
587	206	144
588	206	143
589	206	143
590	206	143
591	207	142
592	207	142
593	207	141
594	207	141
595	207	140
596	208	140
597	208	140
598	208	139
599	209	139
600	209	138
601	209	138
602	209	138
603	210	137
604	210	137
605	210	137
606	210	136
607	211	136
608	211	135
609	211	135
610	211	134
611	212	134
612	212	134
613	212	133
614	212	133
615	213	132
616	213	132
617	213	132
618	213	131
619	214	131
620	214	130
621	214	130
622	214	129
623	214	129
624	215	129
625	215	128
626	215	128
627	215	127
628	216	127
629	216	127
630	216	126
631	216	126
632	217	125
633	217	125
634	217	125
635	217	124
636	217	124
637	218	123
638	218	123
639	218	122
640	218	122
641	219	122
642	219	121
643	219	121
644	219	120
645	220	120
646	220	120
647	220	119
648	220	119
649	220	118
650	221	118
651	221	118
652	221	117
653	222	117
654	222	117
655	222	116
656	222	116
657	223	116
658	223	115
659	223	115
660	223	114
661	224	114
662	224	113
663	224	113
664	224	113
665	225	112
666	225	112
667	225	112
668	225	111
669	225	111
670	226	110
671	226	110
672	226	110
673	226	109
674	227	109
675	227	108
676	227	108
677	227	108
678	227	107
679	228	107
680	228	107
681	228	106
682	228	106
683	229	105
684	229	105
685	229	105
686	229	104
687	230	104
688	230	103
689	230	103
690	230	103
691	231	102
692	231	102
693	231	102
694	231	101
695	231	101
696	232	100
697	232	100
698	232	100
699	232	99
700	233	99
701	233	99
702	233	98
703	234	98
704	234	98
705	234	97
706	235	97
707	235	97
708	235	96
709	235	96
710	236	95
711	236	95
712	236	95
713	236	94
714	237	94
715	237	94
716	237	93
717	238	93
718	238	93
719	238	92
720	238	92
721	239	92
722	239	91
723	239	91
724	239	90
725	239	90
726	240	90
727	240	89
728	240	89
729	240	89
730	241	88
731	241	88
732	241	88
733	241	87
734	242	87
735	242	86
736	242	86
737	242	86
738	242	85
739	243	85
740	243	85
741	243	84
742	243	84
743	244	84
744	244	83
745	244	83
746	244	82
747	245	82
748	245	82
749	245	81
750	245	81
751	246	81
752	246	80
753	247	80
754	247	80
755	247	79
756	247	79
757	248	79
758	248	78
759	248	78
760	249	78
761	249	77
762	249	77
763	249	77
764	250	76
765	250	76
766	250	76
767	250	75
768	251	75
769	251	75
770	251	74
771	251	74
772	251	74
773	252	73
774	252	73
775	252	72
776	252	72
777	253	72
778	253	71
779	253	71
780	253	71
781	254	70
782	254	70
783	254	70
784	254	69
785	255	69
786	255	69
787	255	68
788	256	68
789	256	68
790	256	67
791	257	67
792	257	67
793	257	66
794	257	66
795	257	66
796	258	65
797	258	65
798	258	65
799	259	64
800	259	64
801	259	64
802	260	63
803	260	63
804	260	63
805	260	62
806	261	62
807	261	62
808	261	61
809	261	61
810	262	61
811	262	60
812	262	60
813	262	60
814	263	59
815	263	59
816	263	59
817	263	58
818	264	58
819	264	58
820	264	57
821	264	57
822	264	56
823	265	56
824	265	56
825	265	55
826	265	55
827	266	55
828	266	54
829	266	54
830	266	54
831	267	53
832	267	53
833	267	53
834	267	52
835	267	52
836	268	52
837	268	51
838	268	51
839	269	51
840	269	50
841	269	50
842	269	50
843	270	49
844	270	49
845	270	49
846	270	48
847	271	48
848	271	48
849	271	47
850	272	47
851	272	47
852	272	46
853	272	46
854	273	46
855	273	45
856	273	45
857	273	45
858	274	45
859	274	44
860	275	44
861	275	44
862	275	43
863	275	43
864	276	43
865	276	42
866	276	42
867	276	42
868	277	41
869	277	41
870	277	41
871	277	40
872	278	40
873	278	40
874	278	39
875	278	39
876	279	39
877	279	38
878	279	38
879	279	38
880	280	37
881	280	37
882	280	37
883	280	36
884	281	36
885	281	36
886	281	35
887	281	35
888	282	35
889	282	34
890	282	34
891	282	34
892	283	33
893	283	33
894	283	33
895	283	32
896	284	32
897	284	32
898	284	31
899	284	31
900	285	31
901	285	31
902	285	30
903	285	30
904	286	30
905	286	29
906	286	29
907	286	29
908	287	28
909	287	28
910	287	28
911	287	27
912	288	27
913	288	27
914	288	26
915	288	26
916	288	26
917	289	25
918	289	25
919	289	25
920	289	24
921	290	24
922	290	24
923	290	23
924	290	23
925	291	23
926	291	22
927	291	22
928	291	22
929	292	21
930	292	21
931	292	21
932	292	21
933	293	20
934	293	20
935	293	20
936	293	19
937	294	19
938	294	19
939	294	18
940	294	18
941	295	18
942	295	17
943	295	17
944	296	17
945	296	16
946	296	16
947	296	16
948	296	15
949	297	15
950	297	15
951	297	15
952	297	14
953	298	14
954	298	14
955	298	13
956	298	13
957	299	13
958	299	12
959	299	12
960	299	12
961	300	11
962	300	11
963	300	11
964	301	10
965	301	10
966	301	10
967	301	9
968	301	9
969	302	9
970	302	9
971	302	8
972	302	8
973	303	8
974	303	7
975	303	7
976	303	7
977	304	6
978	304	6
979	304	6
980	304	5
981	305	5
982	305	5
983	305	4
984	305	4
985	305	4
986	307	4
987	307	3
988	307	3
989	308	3
990	308	2
991	308	2
992	308	2
993	309	1
994	309	1
995	309	1
996	310	0
997	310	0
998	310	0
999	311	0
